grant,Sub_Project,Sample_Description,Date_sampled,Exposure_OA,Replicate,Storage,Date_extraction,Tube_ID,Mean_Qubit_ng/ul,Final_ug_sample,Final_vol_sample,Plate_wells,Sample_name
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,A,RNAlater,3/7/2022,High OA A1 2/28/22,82.1,-,-,C7,Ai31
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,A,RNAlater,3/23/2022,High OA A2 2/28/22,100,-,-,C8,Ai32
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,B,RNAlater,3/9/2022,High OA B1 2/28/22,64.6,-,-,C9,Ai33
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,C,RNAlater,3/9/2022,High OA C1 2/28/22,69.4,-,-,C10,Ai34
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,D,RNAlater,3/9/2022,High OA D1 2/28/22,95,-,-,C11,Ai35
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,E,RNAlater,3/9/2022,High OA E1 2/28/22,119,-,-,C12,Ai36
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,F,RNAlater,3/9/2022,High OA F1 2/28/22,136,-,-,D1,Ai37
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,G,RNAlater,3/23/2022,High OA G1 2/28/22,65.5,-,-,D2,Ai38
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,H,RNAlater,3/23/2022,High OA H1 2/28/22,65,-,-,D3,Ai39
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,moderate,H,RNAlater,3/23/2022,High OA H2 2/28/22,84.9,-,-,D4,Ai40
